id, N.mu, Cab.mu, Car.mu, Cw.mu, Cm.mu, residual.mu, N.sigma, Cab.sigma, Car.sigma, Cw.sigma, Cm.sigma, residual.sigma, N.q25, Cab.q25, Car.q25, Cw.q25, Cm.q25, residual.q25, N.med, Cab.med, Car.med, Cw.med, Cm.med, residual.med, N.q975, Cab.q975, Car.q975, Cw.q975, Cm.q975, residual.q975
dryala-tm1_00003.sed, 1.60899804313541, 37.183989115064, 9.37620071964523, 0.00152322780007491, 0.0111276322966918, 0.0194765119953763, 0.0499508618427694, 5.7631025481176, 4.3483384984027, 0.0002194886754316, 0.00131294727318934, 0.00109477128976981, 1.51792863065999, 27.9067585072059, 2.07874877481742, 0.0011180341697192, 0.00841095242268877, 0.0180765886420884, 1.60752495077221, 36.4933636950266, 9.16889198564172, 0.00149106350405098, 0.0112013876905861, 0.0192332202671879, 1.70665882732248, 49.6991806447069, 20.429888343746, 0.00199783641625627, 0.0135098277983422, 0.0225611290525624
dryala-tm1_00004.sed, 1.69389032109354, 41.1367388035357, 9.06353709776825, 0.00167120842351608, 0.0112340254918369, 0.0200147110682286, 0.0586066194869007, 5.10710974922489, 4.19726096406587, 0.000249147754526738, 0.00123970285554924, 0.00116954801373203, 1.58927601440809, 30.8187646741038, 2.79437303645273, 0.00123919806240266, 0.008758959448891, 0.0184375077043478, 1.69189346039993, 41.3542293420552, 8.25312746528073, 0.00165613290404276, 0.01118857413424, 0.0197846678575643, 1.81056123907823, 53.1375146277311, 18.5657049444375, 0.00218825920709694, 0.013966001057482, 0.0229608959090206
dryala-tm1_00005.sed, 2.42290100303316, 58.4630433751284, 8.85740514748548, 0.00749333747194867, 0.0103177183906769, 0.0250353168983673, 0.131957113767704, 7.88931075622281, 4.04376491314241, 0.000744634421734454, 0.00226646211795155, 0.00133821208351588, 2.14684287819463, 44.3865850022318, 2.57403014864734, 0.00600222628325972, 0.00664794329191631, 0.0231629381508531, 2.4166829221884, 57.3797217847029, 8.32529191773934, 0.00744619978723335, 0.0101171646856201, 0.0247612460043068, 2.7059870821447, 75.3613480112084, 18.5742349595462, 0.00916369011577303, 0.0157771035037082, 0.0283460519070721
dryala-tm1_00006.sed, 2.81615479927702, 60.4052203390021, 9.29058328064971, 0.00919058912897303, 0.0104852031066521, 0.0267552565222208, 0.116699001652073, 8.42624565246715, 4.06582353271621, 0.000821394314510481, 0.0016727821951723, 0.00136581605591793, 2.55508061070069, 44.1734410400024, 3.44070849658755, 0.00764935754741263, 0.00686095252518279, 0.0249358997510617, 2.82624050274208, 59.8494312996045, 8.50266733876528, 0.00922388483995042, 0.0110078055770658, 0.0265239156898515, 2.99943780234904, 78.6266761538833, 19.1648832949738, 0.0106783531625958, 0.0130384676850437, 0.0301788853246211
dryala-tm18_00103.sed, 2.8950058171275, 29.327607108747, 6.79814196956857, 0.00327686122768027, 0.00250004691139344, 0.149376266667688, 0.0964807424273565, 11.0653330461328, 4.35540601963832, 0.000957456529653395, 0.000963044347534305, 0.00888571989336087, 2.63145184106319, 12.9788142292515, 1.46165811441132, 0.00168702074019303, 0.000931740992163515, 0.136077691127909, 2.92133645421603, 27.4191996133292, 5.6724521679731, 0.00318109603724468, 0.00240561148527911, 0.148028082859708, 2.99601215781183, 55.8154196264884, 18.2273331790359, 0.00538039511002923, 0.00460219095425349, 0.171285245432249
dryala-tm18_00104.sed, 2.90367826308878, 27.8190151435982, 7.09266036547073, 0.0032166334075083, 0.00270494859391053, 0.143412807213614, 0.0730283070115694, 9.30626341070455, 3.88342368260369, 0.00102421335237864, 0.00115093226948277, 0.00899048712784376, 2.71244101988841, 14.1168367513417, 1.58242172431142, 0.0016972220890904, 0.00111716112949316, 0.130530340790951, 2.91817337576217, 26.0807220017812, 6.47115534020725, 0.00310333549034091, 0.00255787740958003, 0.141976805745191, 2.99744337438862, 51.4948949393477, 15.7223055026212, 0.00580391811568646, 0.00544920931665434, 0.167252537777443
dryala-tm18_00105.sed, 2.87842875749258, 31.0662253565429, 6.82915969814459, 0.00336163406905706, 0.00271148787015854, 0.137748726294666, 0.0976446106561336, 12.2015361428092, 4.18264652067301, 0.000886351747233907, 0.00089111261964127, 0.0080546292864189, 2.6502117724528, 14.0952439699936, 1.76405780432841, 0.0018345438230585, 0.00104358143158309, 0.125269161882913, 2.9020485286392, 28.5751938052946, 5.88395522629246, 0.00330026029927789, 0.00285529587500703, 0.136873744494424, 2.99763592330725, 60.1065697104826, 18.6744071997788, 0.00533216582255006, 0.00456413073275352, 0.155607290749221
dryala-tm18_00106.sed, 2.91820877981919, 33.2548788362744, 7.68666160614166, 0.00333559739263262, 0.00225670198453597, 0.136826318611734, 0.0836969101873356, 13.3105949998389, 4.77994500158164, 0.000937178239139511, 0.000834022320761129, 0.00796994629475099, 2.6892535346264, 13.9103848509809, 1.49516173300163, 0.00181318265800542, 0.00102391837623396, 0.126151919859111, 2.94835356393933, 30.8734443073679, 6.29082800386614, 0.00324204891765694, 0.00211212692405899, 0.135004362655289, 2.99770923274137, 65.7707653744275, 18.2925558853652, 0.00541492200968808, 0.00457451673292664, 0.157092150316822
dryala-tm19_00111.sed, 2.89765208356825, 38.7251288129151, 7.87028497230159, 0.00637954968263809, 0.00300948294005142, 0.118407001642486, 0.0640097006688689, 9.92285293787313, 3.85437007887186, 0.0014967031907693, 0.00124699085299166, 0.00429115912703855, 2.75067719142729, 24.767725176575, 2.18160070836811, 0.00353869254498265, 0.00137420051652956, 0.111565407897401, 2.9162942164802, 36.4005001055449, 7.45116138579017, 0.0061568854119836, 0.00280881949066728, 0.11787734189717, 2.98904946658588, 63.0277466195375, 16.7741771057886, 0.00896946089727325, 0.00668424501620092, 0.12791405138612
dryala-tm19_00112.sed, 2.89492811529691, 40.4664227443194, 6.54840279324622, 0.00606813512165277, 0.00268925253071838, 0.116960717244263, 0.09260633061992, 11.476912777727, 3.6088573826562, 0.00109846737922694, 0.00090760544386834, 0.00529258112397571, 2.63829570407249, 20.2078378660723, 1.63191480009512, 0.00366633433078939, 0.00118197031474832, 0.109281972017652, 2.91514705925306, 39.7459365406452, 5.89387689385347, 0.0061188403220762, 0.00262543872306411, 0.115990902266003, 2.99785485014388, 65.8246990394647, 16.0069324967966, 0.00835431534691388, 0.00469913683305293, 0.129947003396487
